,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
768,erp slow location impacted least,erp slow location impacted least,hadbkvwt touedfyr,GRP_0,English,English,English,32,32,5,5
769,backup rechner lasplant pfjwinbg ljtzbdqg,backup rechner lasplant pfjwinbg ljtzbdqg,pfjwinbg ljtzbdqg,GRP_24,English,English,English,41,41,5,5
770,blank call,blank call,pwkrlqbc zslqfmka,GRP_0,English,English,English,10,10,2,2
771,log erp order,log erp order,vncqjgzi tvalnycz,GRP_0,English,English,English,13,13,3,3
772,pls help run sto pc customer need urgently,pls help run sto pc customer need urgently,wktesmbp lorjymef,GRP_6,English,English,English,42,42,8,8
774,urgent please reactive user dudyhuyv,received hello dudyhuyv active password management tool australia access window please check necessary thx cid image png efe sinc re salutation best,hupnceij hyozjakb,GRP_33,English,English,English,148,36,22,5
775,unable open eps file,unable open eps file,ckwfvyda saunmgqt,GRP_0,English,English,English,20,20,4,4
776,netpath running hostname issue reaching portal microsoftonline com,received solarwind alert netpath running hostname issue reaching portal microsoftonline com attached screen shot,jloygrwh acvztedi,GRP_4,English,English,English,112,66,14,8
778,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
780,request authorization,received hello requesting provide authorization mentioned programdnty cid image jpg best,hkruyqfc aouezihl,GRP_2,English,English,English,88,21,11,2
781,bex error,wgpimkle kijhcwur sent friday october nwfodmhc exurcwkm subject rad bex error help desk got error message ran rrmx sid please fix issue,wgpimkle kijhcwur,GRP_19,English,English,English,135,9,22,2
783,job bkwin search server prod daily failed job scheduler,received job bkwin search server prod daily failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,64,55,10,9
785,erp slow,name zheqafyo bqirpxag language browser microsoft internet explorer customer number telephone summary erp slow,cowsvzel ryhkefwv,GRP_14,English,English,English,110,8,14,2
786,user various department complaining slow response erp engineering tool engineering tool etc,user various department complaining slow response erp engineering tool engineering tool etc unable work,ythucdjx mujfrsyl,GRP_0,English,English,English,103,91,14,12
787,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
788,circuit outage usa plant company secondary vpn since site primary global telecom,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,jloygrwh acvztedi,GRP_8,English,English,English,524,80,79,12
789,erp sid system,received plant encounter erp sid system due issue may may able fulfill local order today depend fast system raise ticket inc nsdwd mwdddlleh operation supervisor company distribution service asia pte ltd email,rxoynvgi ntgdsehl,GRP_14,English,English,English,209,14,32,3
790,unable check pay slip tool,unable check pay slip tool,gbirhjat fptbrhwv,GRP_0,English,English,English,26,26,5,5
791,erp fenthgh erp password forgotten,received erp fenthgh erp password forgotten self service system password forgotten even worse system locked fever unlock,jmxqhrfa vawptbfl,GRP_0,English,English,English,120,34,17,5
792,erp run slow apac,agent wait minute operation erp,zupifghd vdqxepun,GRP_0,English,English,English,31,17,5,4
793,erp response time slow,found erp response time speed slow morning please help chek fix issue aerp,tqfnalpj qyoscnge,GRP_0,English,English,English,74,22,13,4
794,plant erp sid system slow,received team kindly please assist check plant encounter erp sid system slow daily,rxoynvgi ntgdsehl,GRP_0,English,English,English,82,25,13,5
795,pls help check erp due slow response thx,pls help check erp due slow response thx,wktesmbp lorjymef,GRP_0,English,English,English,40,40,8,8
796,job bkwin hostname inc failed job scheduler,received job bkwin hostname inc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,52,43,8,7
797,hostname fence,hostname fence instead,jloygrwh acvztedi,GRP_8,English,English,English,22,14,3,2
798,termination hwddwwd wdflefrong wdnwe effective approved,termination hwddwwd wdflefrong wdnwe effective approved,homsxpyw qgcsaymo,GRP_2,English,English,English,55,55,6,6
799,job bkwin hostname inc failed job scheduler,received job bkwin hostname inc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,52,43,8,7
800,terminate action svfuhlnx aqrzskpg completed,termination svfuhlnx aqrzskpg effective approved,wvngzrca sfmrzdth,GRP_2,English,English,English,48,44,5,5
801,old email,received access earlier work email dell desktop pull mail older april,pojhkxua frpxtsca,GRP_27,English,English,English,69,9,11,2
802,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
803,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,42,33,7,6
804,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
805,job job failed job scheduler,received backup statistic session queuing time hour completed disk agent failed disk agent aborted disk agent disk agent total completed medium agent failed medium agent aborted medium agent medium agent total mbytes total used medium total disk agent error total job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,292,28,45,5
806,job sid hot failed job scheduler,received major lib drive time dev rmt cannot write device error job sid hot failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,96,32,17,6
807,job sid hot failed job scheduler,received job sid hot failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,41,32,7,6
808,window password reset request,window password reset request,uyjcxkql amcvnfbs,GRP_0,English,English,English,29,29,4,4
809,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,37,28,6,5
810,unable log ethic,unable log ethic,fsvnjexu yxaevupi,GRP_23,English,English,English,16,16,3,3
811,query send skype meeting,query send skype meeting,fsvnjexu yxaevupi,GRP_0,English,English,English,24,24,4,4
812,unable connect home printer,unable connect home printer,wstxjbpv tjlncygd,GRP_0,English,English,English,27,27,4,4
813,folder access required,received dear team please usa read write access following two folder dnqdqld hostname department personal hostname department pesonal,naruedlk mpvhakdq,GRP_12,English,English,English,133,22,18,3
814,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
815,outlook issue crm dynamic,outlook issue crm dynamic,gdnwlkit jokidavy,GRP_0,English,English,English,25,25,4,4
816,please usa sasqkjqh lwddkqddq access printer per lpoebzsc grknswyo,please usa sasqkjqh lwddkqddq access printer per lpoebzsc grknswyo,lpoebzsc grknswyo,GRP_0,English,English,English,66,66,9,9
817,password update query,password update query,gdnwlkit jokidavy,GRP_0,English,English,English,21,21,3,3
818,vpn query user vvtdfettc,vpn query user vvtdfettc,lwgytuxq qspdztiw,GRP_0,English,English,English,24,24,4,4
819,collaboration platform industrial,received good afternoon please add new library heading talent review library area also remove kristina cope owner portion page please use mtdyuhki fdnrxaci ifblxjmc dyrgfwbm page cid image png,okmhzgcq wzvetbqa,GRP_16,English,English,English,192,33,29,3
820,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
821,erp station casting working,erp station casting working,juaxnvwz reampilj,GRP_3,English,English,English,27,27,4,4
822,dalmdwppi casting working,dalmdwppi casting working,ljpgedia bzqcwsgf,GRP_3,English,English,English,25,25,3,3
823,boot,boot,jinyluhq wpvelhtz,GRP_0,English,English,English,4,4,1,1
824,outlook work,last fourth week problem start outlook outlook opening open time fixed service technician help always one week appeares please help fix phone number home tomorrow afternoon,dismypxe zkwcmgsr,GRP_0,English,English,English,172,12,26,2
825,erp sid account lock,erp sid account lock,pizcefdg wkyxbgda,GRP_0,English,English,English,20,20,4,4
826,able get delivery create,believe apo synch cif programdnty may need run sto created inventory received afternoon next bop job scheduled sto need ship,khvzugxm yqfrcjwl,GRP_45,English,English,English,124,24,20,4
827,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
828,quoting engine error,quoting engine error,lagqkmto xqtldrcs,GRP_14,English,English,English,20,20,3,3
829,password reset,reset outlook password theecanse wdleell window logon password different since log company,mfeyouli ndobtzpw,GRP_0,English,English,English,90,14,12,2
830,guest internet access,received trouble getting internet guest access person skads wdlmdwwck technician engineering usa plant,etnroabk jkvshlfm,GRP_0,English,English,English,102,21,13,3
831,file server available file cannot opened hostname,detail provided trying open file state file corrupt cannot opened multiple file noticed since wednesday october plant become unavailable confirmation unavailable file different department mail notice regarding possible server change,pkfvoucw yhmicuba,GRP_12,English,English,English,232,49,30,7
832,modem idg area usa plant,contact summary modem idg area usa plant,zlpkfdox gzlciskf,GRP_4,English,English,English,40,24,7,5
833,interface serial serial connection usa plant since,interface serial serial connection usa plant since,rkupnshb gsmzfojw,GRP_8,English,English,English,50,50,7,7
834,account locked,account locked,nacrbmxo ptbjlxar,GRP_0,English,English,English,14,14,2,2
835,multiple location across europe went please find attached,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes site contact notified phone email yes yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,uvrbhlnt bjrmalzi,GRP_8,English,English,English,524,57,79,8
836,citrix access,received getting certificate error trying access hfyujqti jdcbiezxs see attached hddwdw lwdwdwdr,lenxvcbq vwnhjtoi,GRP_12,English,English,English,96,13,12,2
837,erp sid password reset request,erp sid password reset request,ikerxqwz prkyuitl,GRP_0,English,English,English,30,30,5,5
838,symantec pop query ran quick scan deleted cooky,symantec pop query ran quick scan deleted cooky,jhwgydeb ufiatosg,GRP_3,English,English,English,47,47,8,8
839,access axcbfuqo yiagubvh,axcbfuqo yiagubvh longer access need access please see attached email gilles good morning long time contacted team india week work team using new equipment need help anymore able connected application able make consultation received following message help connection working also competitive databse still working well,axcbfuqo yiagubvh,GRP_25,English,English,English,318,24,45,3
840,unable connect outlook,unable connect outlook,wjslkzfr jxlbzwrp,GRP_0,English,English,English,22,22,3,3
841,error customization engineering tool erp plam company tool,team need help two error customization engineering tool two error attachment ticket erro computer lpawty diwhdd jwddkwor lpawty gsotqxfi lidunfjg doubt please contatc,qasdhyzm yuglsrwx,GRP_46,English,English,English,166,58,23,8
842,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
843,mobile device activation company owned,summary need phone connect outlook,iehdjwvt rndtlyhv,GRP_0,English,English,English,34,38,5,5
844,outlook outage,received hello outlook seem connect laptop remotely please advise sent iphone dxwuovgs lmuxizht sale engineer,dxwuovgs lmuxizht,GRP_0,English,English,English,109,14,15,2
845,urgent please create tax code yks,please create tax code yks really urgent post vat inwarehouse tool end week background export good location germany plant plant delivery sto vat inwarehouse tool posted finance,kxcawjet xmybdwfh,GRP_10,English,English,English,176,33,27,6
846,crm access issue,poland cannot log crm user poland,utrvshcp bjlwcovt,GRP_0,English,English,English,33,16,6,3
847,job tool netch failed job scheduler,received job tool netch failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,44,35,7,6
848,email license,need check email license production lead dwwkd wdjwd usa wdnwk wdwmd wdkfww usa whwdiuw wdnwwl kwfwdw usa wdkwdwd,wvngzrca sfmrzdth,GRP_0,English,English,English,113,13,18,2
849,sign crm single sign portal hub,sign crm single sign portal hub state password correct password use access point company,uyjcxkql amcvnfbs,GRP_0,English,English,English,88,31,14,6
850,password reset,password reset,qcehailo wqynckxg,GRP_0,English,English,English,14,14,2,2
851,calibration system printer,printer dymo labelwriter turbo working print calibration label gage,vushymxe ifrbzdtl,GRP_0,English,English,English,67,26,9,3
852,unable change password,unable change password,sdgqujpr dtilnycz,GRP_0,English,English,English,22,22,3,3
853,able login sso one team never worked,able login sso one team never worked refer ticket ticket,fbwqocvh olapczwf,GRP_0,English,English,English,56,36,10,7
854,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,42,33,7,6
855,rqxw setup remote company use cannot logged appears domain membership broken,rqxw setup remote company use cannot logged appears domain membership broken,xweclugf qmhbjsyi,GRP_3,English,English,English,76,76,11,11
856,bdwdwarbara need permission save folder srvlavstorage toolroom tooling documentation,bdwdwarbara need permission save folder srvlavstorage toolroom tooling documentation,tfesaxip cvorpnth,GRP_12,English,English,English,84,84,9,9
857,need access server hostname drafting itar user wdwddw wwdyuan yqddquanw read access,name employee need access wdwddw wwdyuan yqddquanw employee number file located operation drive drive sub file drafting sub file itar set guy laid,bkscnoqz umaojbci,GRP_12,English,English,English,146,83,23,12
858,need access es,need access es,jqhtkfsm xoehtbnl,GRP_2,English,English,English,14,14,3,3
859,engineering tool installation,engineering tool installation,mcphgvnb bdegqtyj,GRP_0,English,English,English,29,29,3,3
860,tool plant plant working slowly please help immediately thanks,tool plant plant working slowly please help immediately,wckrxovs aunsgzmd,GRP_25,English,English,English,55,62,8,9
861,crm issue ouutlook issue,crm issue outlook issue,jartombc ghnxkmsl,GRP_0,English,English,English,23,24,4,4
862,user need help login mii,user need help login mii,jnlzsubr cfgustlo,GRP_0,English,English,English,24,24,5,5
865,please reset sid password,received userid waldjrrm,azxhejvq fyemlavd,GRP_0,English,English,English,24,25,3,4
866,user need help login collaboration platform site,user need help login collaboration platform site provided user email password verifying user detail advised user try login collaboration platform user confirmed able login collaboration platform issue resolved,ajzycbnu ntfvpsqu,GRP_0,English,English,English,209,48,28,7
867,account lockout,account lockout,wqfpkcgh vxtqeris,GRP_0,English,English,English,15,15,2,2
868,outlook table view incorrect,outlook table view incorrect,ylqvitsk bfnackrw,GRP_0,English,English,English,28,28,4,4
869,computer problem,received dear able internet since morning itbof germany able log tried much pasword locked message password expired must changed please forward new password,uskydftv sgwbfkjz,GRP_0,English,English,English,156,16,23,2
870,design pane showing analysis excel,hello use analysis excel see design pane even option turned refer screenshot able see design pane earlier without problem major change recently upgraded office suite please help bring design pane back,entuakhp xrnhtdmk,GRP_0,English,English,English,200,34,31,5
871,browser issue flash player addins issue,browser issue flash player addins issue,csmhykge mpxbjudw,GRP_0,English,English,English,39,39,6,6
872,able pgi del customer vale account assignment different profit center,able pgi delivery customer vale order itens piece piece piece piece urgente uacyltoe hxgaycze customer error account assignment different profit center message diagnosis entered multiple account assignment object assigned different profit center document item however account assignment object profit center assignment must assigned profit center procedure message error message check change account assignment object object profit center assignment assigned profit center customizing change message error message warning message notification deactivate completely see implementation guide img step controlling general change message control message class message,jaeuqbvt orlhenfj,GRP_44,English,English,English,663,69,84,10
873,erp sid account unlock password reset,erp sid account unlock password reset,qidgvtwa qvbutayx,GRP_0,English,English,English,37,37,6,6
874,bex analyzer report working,open bex analyzer connect sid try open report xhlg pmm atm product management master window select value variable appears available variant data provider set finance click system sits nothing eventually get microsoft excel responding error something wrong system something wrong setting need pull report external auditor rather urgent get fixed quickly,wgothrzl iokdftgn,GRP_0,English,English,English,352,27,51,4
875,cannot print usa printer prtqx longer please fix,cannot print usa printer prtqx longer please fix,xzcwlqrv fjrdhiqt,GRP_3,English,English,English,48,48,8,8
876,unable print printer,unable print printer,lagqkmto xqtldrcs,GRP_0,English,English,English,20,20,3,3
877,need rckf grind added microsoft email,one helped sure closed received help,raifstow gfeymtql,GRP_0,English,English,English,36,37,6,6
878,user unable connect companysecure office,user unable connect companysecure office checked network connection setting enabled network connection updated network driver updated bios restarted user iformed ina meeting call tomorrow,nacrbmxo ptbjlxar,GRP_0,English,English,English,187,40,24,5
880,job sid hotf failed job scheduler,received job sid hotf failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
881,folder access required,received dear team please usa read write access following two folder webr gers hostname department personal hostname department pesonal,naruedlk mpvhakdq,GRP_34,English,English,English,135,22,19,3
882,erp sid account unlock password reset,erp sid account unlock password reset,nmujidyk suylrqbi,GRP_0,English,English,English,37,37,6,6
883,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
885,called get touch ecwtrjnq jpecxuty,called get touch ecwtrjnq jpecxuty,gzjtweph mnslwfqv,GRP_0,English,English,English,34,34,5,5
886,vip account unlock,vip account unlock,tqjsmwvk arqoytbh,GRP_0,English,English,English,18,18,3,3
887,support roboworker sandstrahlen xwirzvda okhyipgr,support roboworker sandstrahlen xwirzvda okhyipgr,xwirzvda okhyipgr,GRP_24,English,English,English,49,49,5,5
888,setup new lndypaqg dhqwtcsr,setup new lndypaqg dhqwtcsr,lndypaqg dhqwtcsr,GRP_24,English,English,English,27,27,4,4
889,ticket update ticket,ticket update ticket,gzjtweph mnslwfqv,GRP_0,English,English,English,20,20,3,3
890,circuit outage india admin core,circuit outage india admin core,bozdftwx smylqejw,GRP_8,English,English,English,31,31,5,5
891,circuit outage company ind telecom vendor dmvpn rtr since site telecom vendor,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,jyoqwxhz clhxsoqy,GRP_8,English,English,English,524,77,79,12
892,login issue,login issue verified user detail employee manager name checked user name unlocked account advised user login check caller confirmed able login issue resolved,iwqfelcu gsubfiml,GRP_0,English,English,English,157,11,23,2
894,unable launch outlook,unable launch outlook,iuoavmpx suojykvf,GRP_0,English,English,English,21,21,3,3
895,erp access issue,system sid sid sid sid hrp enter user user issue mathes transaction code user need working describe issue please reset password required please unlock getting authorized message recreate condition nsu attach result ticketing tool ticket provide access user,waekugzo dwzfghqo,GRP_2,English,English,English,256,16,38,3
896,erp account locked,received dear team erp account got locked wrong password attempt please support get unlock,uexodhqa txqoifsl,GRP_0,English,English,English,90,18,14,3
897,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
898,erp printing production order printer replacement,production order printer replaced remove rerouting erp system printer replacement need power network connectivity printer installed ready ticketing tool ticket opened requirement satisfied yes yes replacing erp printer name name stay address known stay make model replacement erp printer laserjet erp printer currently use list erp system printer need defined erp sid sid sid sid sid sid hrp plm etc hrp sid plm old currently printed printer erp inwarehouse tool delivery note etc old location install country city building floor cubicle old local site contact name xvwchsdg pladjmxt optional printer serial number printer mac address serial cnctf,xvwchsdg pladjmxt,GRP_5,English,English,English,647,49,97,6
899,hostname currently experiencing high cpu utilization please investigate,hostname currently experiencing high cpu utilization please investigate,jloygrwh acvztedi,GRP_12,English,English,English,71,71,8,8
900,hedjdbwlmut nwwiebler called regarding folder access query,hedjdbwlmut nwwiebler called regarding folder access query,olckhmvx pcqobjnd,GRP_0,English,English,English,58,58,7,7
901,folder read write access needed,received dear colleague please usa access path read write access corpbusinessdev monthly financial review,unzfipac opwzmlbc,GRP_34,English,English,English,105,31,14,5
902,activation outlook email access iphone device awddmwdol mwddwansuke,received please usa email access new iphone device indirect channel manager information follow email manager name sqqqd zlkmlwdwdade nidqknwjktin dewkiodshpande device company owned yes replacement old device yes existing old samsung phone faulty,kbclinop vsczklfp,GRP_0,English,English,English,246,67,33,8
903,access issue es,received hello one temperory workman nxcfastp xnwtyebg whose user vvandwkjis able login es user locked kiosk user please set password confirm,ihkolepb ozhnjyef,GRP_0,English,English,English,141,15,21,3
905,setup new usalikfj lfmpxbcn,setup new usalikfj lfmpxbcn,usalikfj lfmpxbcn,GRP_24,English,English,English,27,27,4,4
908,reinstall eagl scratch device chrashes entering stand mode,reinstall eagl scratch device chrashes entering stand mode,jksgwdyi greuqxko,GRP_28,English,English,English,58,58,8,8
909,restore,received please restore complete file hostname mitarbeiter azubis including file azubis danke viele trgqbeax hfyzudql,trgqbeax hfyzudql,GRP_12,English,English,English,117,7,15,1
910,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
911,printer working,received please help resolve printer problem printer fine printer technician check cable server port server room admin knowledge capability handle please someone help aerp best,yhmzxcia heszapvl,GRP_19,English,English,English,176,15,25,2
912,tool pls wqw working slow,tool pls wqw working slow,jltebswi zmvohjws,GRP_25,English,English,English,25,25,5,5
914,english form printing german instead english,change bank detail made ticket correctly printing english form showing correct data description german example bankverbindung instead bank address konto nummer instead account number also see extra text printed customer bitte beachten sie unsere neue bankverbindung please note new bank account detail english version print english document german english,ujxvrlzg pkaegicn,GRP_13,English,English,English,355,44,49,6
915,tool job running please help immediately,released order make list please check status restart system,qmhikdzl zatcorjd,GRP_25,English,English,English,59,40,9,6
916,skype,received able get skype right outage,lenxvcbq vwnhjtoi,GRP_0,English,English,English,36,5,6,1
917,whenever fill amount money erp show rmb finally system,whenever fill amount money erp show rmb finally system please contact withn aerp phone,facrghdv velfjros,GRP_0,English,English,English,86,54,14,9
918,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
919,sid configair server responds internal server error case logon language,configair server responds internal server error case logon language model csewdwdwdndmill used issue exists erp erp system sid well uacyltoe hxgayczedistributor tool uacyltoe hxgayczecompany center quality environment error message text error trying invoke method java util list iterator null object loaded local variable locallist logon language csscdddwsawdrill model used language seem working fine user change language us model csewdwdwdndmill configig air system response error message starting process configair configurator,rednkluh lrpyvcxs,GRP_14,English,English,English,530,71,69,10
920,job tool netch failed job scheduler,received job tool netch failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,44,35,7,6
921,unable create delivery urgent,plant pc cannot created customer urgent good would please help sloved,mgpfntcl mjoigcdb,GRP_6,English,English,English,69,29,11,4
922,backup data,received dear sir mistake one folder hostname deleted requesting retrieve best,ucdwyxko apktrsyq,GRP_12,English,English,English,78,11,11,2
923,sid purchase requisition approval issue,received team cannot approve via link provided enable approve directly erp via kindly fix,izwtdnfq xptuoaid,GRP_29,English,English,English,89,39,14,5
925,ibm pmr problem report pwr hmc company com,sent wednesday october subject problem report pwr hmc company com reporting system pwr hmc machine type model serial problem number error description management console fsp bpa bpc failure detected last occurred current status pmr number detail,jloygrwh acvztedi,GRP_47,English,English,English,244,42,36,8
926,reset password arsbtkvd qieagkos erp production erp,received good day could please reset password erp,arsbtkvd qieagkos,GRP_0,English,English,English,49,51,8,7
927,able add lean project collaboration platform,received cid image png jkddwkwd ngtr assistant manager manufacturing company india limited,jhyazros azdxonjg,GRP_0,English,English,English,90,44,12,6
928,print business client,received request access get print,vciknubg wdlkabms,GRP_2,English,English,English,33,21,5,3
929,log ticketing tool,received gso user qzkyugce etsmnuba dondwdgj log ticketing tool system display user password invalid could work,zuxcfonv nyhpkrbe,GRP_0,English,English,English,111,18,16,3
930,network outage cantabria mecftgobusa kenci hard since site backup circuit,type outage network circuit power please specify type outage top cert site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,jloygrwh acvztedi,GRP_8,English,English,English,508,73,75,10
931,job sid stat failed job scheduler,received job sid stat failed job scheduler,bpctwhsn kzqsbmtp,GRP_1,English,English,English,42,33,7,6
932,iak urgent,kwddwdw hudfefwe sent thursday october nwfodmhc exurcwkm rxoynvgi ntgdsehl gzawrocy shbgwxeparamdnty subject iak urgent help please help check urgent din future please raise issue well logistics manager rxoynvgi ntgdsehl sent thursday october gzawrocy shbgwxeparamdnty johthryugftyson kmvwxdti uaoyhcep subject iak morning issue still solve yet still encounter issue net weight higher gross weight net weight kg physical gross weight kg erp sid shown correct attached reference morning need advice issue issue happen since last thursday still solve yet attached email flow reference ksjfye fekfeealleh operation supervisor email sent wednesday october gzawrocy shbgwxeparamdnty kmvwxdti uaoyhcep rxoynvgi ntgdsehl subject iak hello done nice day mit freundlichen best,ovhtgsxd dcqhnrmy,GRP_18,English,English,English,767,10,104,2
933,note always printed bottom quotation missing please help put back,please see attachment,tfazwrdv upwonzvd,GRP_13,English,English,English,21,65,3,10
934,erp locked,received hello user yandfgs please help unlock,vqefplhm mfpjaleo,GRP_0,English,English,English,46,10,7,2
935,error erp sid zsd mexico inwarehouse tool extract,received cannot run erp sid zsd mexico inwarehouse tool extract show error cid image png ecb cid image png ecb best,zvjwleuo tdfqgcal,GRP_2,English,English,English,115,49,21,8
936,collaboration platform access issue,first name trtgoywdd last name povirttch customer job title sale engineer contact email address vitalyst reference number bomsdgar used yes description problem unable access collaboration platform site problem persists contact support team include technical detail correlation sid ace date time user issue type user permission step taken far go hub search lagp lagp request go form click blue circle access denied message previously access site,cmifnspg icauzxfh,GRP_16,English,English,English,444,35,65,4
937,access sid,need access sid uacyltoe hxgaycze system username owenssdcl supervisor phjencfg kwtcyazx manager vnhaycfo smkpfjzv wsjkbw owwddwens accounting specialist,varldgiw hfyogqnj,GRP_0,English,English,English,153,10,18,2
938,authorization apps,authorization apps,vcnjqfta islabdft,GRP_25,English,English,English,18,18,2,2
939,unable log erp sid,unable log erp sid,quxtnlgd tqnjyzsm,GRP_0,English,English,English,18,18,4,4
940,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
941,access erp sid user rgpvdhcm mgvpabsj,access erp sid user rgpvdhcm mgvpabsj,rgpvdhcm mgvpabsj,GRP_2,English,English,English,37,37,6,6
943,folder access request,summary need access following folder financial review corpbusinessdev monthly financial review need get read write need save file able open,vsbtygin oufhtbas,GRP_34,English,English,English,139,21,20,3
944,unlocked account,unlocked account,htsnaodb adjtmlzn,GRP_0,English,English,English,16,16,2,2
945,pricing availability look dynamic crm working,attached screenshot ptljghyk qhtvlrxe looked product know screen show,qmglkaru qiwhfkdv,GRP_40,English,English,English,69,45,9,6
946,engineering tool able update new customer,engineering tool able update new customer,crjhotyk pxslorbe,GRP_0,English,English,English,41,41,6,6
947,unable access collaboration platform,unable access collaboration platform,gakceqyb edrjthvo,GRP_0,English,English,English,36,36,4,4
948,unable open engineering tool,unable open engineering tool,crjhotyk pxslorbe,GRP_0,English,English,English,28,28,4,4
949,permission create cost center sid erp transaction,longer access create cost center sid sid please update access cost center creation uacyltoe hxgayczeing system sid transaction,zujpycos pogmachd,GRP_2,English,English,English,126,49,18,7
950,collaboration platform issue,summary issue collaboration platform unable access meeting people post document library able access fixed,lpoebzsc grknswyo,GRP_0,English,English,English,105,28,14,3
951,static address,requested temporary service provide static address time clock hard wired provide contact summary gear request static address box assistance,wvngzrca sfmrzdth,GRP_4,English,English,English,139,14,19,2
952,collaboration platform system working,collaboration platform system working multiple user report getting error trying open company collaboration platform com website greatly affect discount process cannot access request update approved one error message pop attached affect pozna usa,wgqkKupL esgahtqn,GRP_16,English,English,English,245,37,33,4
953,cannot get usb wifi adapter work laptop,cannot get usb wifi adapter work laptop,gqkedvzu czoniyra,GRP_3,English,English,English,39,39,7,7
954,unable access collaboration platform,unable access collaboration platform,qzioyhud csehbrfy,GRP_0,English,English,English,36,36,4,4
955,collaboration platform issue,summary thrown vpn tried several time get back back vpn cannot sign crm,nibaotpy vmxathog,GRP_0,English,English,English,71,28,13,3
956,collaboration platform issue,collaboration platform issue,mknoeicg aziptqvu,GRP_0,English,English,English,28,28,3,3
957,collaboration platform,collaboration platform,wsomjhce afjkuwih,GRP_0,English,English,English,22,22,2,2
958,skype business connected exchange,ihuogcqd ihusvgcw phone skype business connect exchange going week rebooted logged back skype connect keep getting error,ihuogcqd ihusvgcw,GRP_0,English,English,English,120,33,17,4
